Agency,Agency Type,Distribution Channel,Product Name,Gender,Duration,Destination,Net Sales,Commision (in value),Age,Claim
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,33,AUSTRALIA,118.8,71.28,32,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,10,MALAYSIA,30.0,10.5,70,No
JZI,Airlines,Online,Basic Plan,M,7,THAILAND,18.0,6.3,38,No
EPX,Travel Agency,Online,Cancellation Plan,,10,CHINA,33.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,6,THAILAND,18.0,6.3,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,2,UNITED KINGDOM,19.8,11.88,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,93,UNITED STATES,53.0,0.0,31,No
EPX,Travel Agency,Online,Cancellation Plan,,67,CAMBODIA,16.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,27,AUSTRALIA,49.5,29.7,31,No
EPX,Travel Agency,Online,Cancellation Plan,,260,SINGAPORE,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,VIET NAM,27.0,0.0,36,No
CSR,Travel Agency,Offline,Comprehensive Plan,F,49,MALAYSIA,29.0,9.57,84,No
C2B,Airlines,Online,Annual Silver Plan,F,366,SINGAPORE,252.85,63.21,55,No
C2B,Airlines,Online,Bronze Plan,F,9,SINGAPORE,18.0,4.5,42,No
EPX,Travel Agency,Online,Cancellation Plan,,6,CAMBODIA,23.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,4,INDONESIA,20.0,0.0,36,No
KML,Travel Agency,Online,Premier Plan,F,196,PERU,130.0,49.4,48,No
SSI,Airlines,Online,Ticket Protector,,38,SINGAPORE,0.92,0.26,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,59,MALAYSIA,19.8,11.88,47,No
RAB,Airlines,Online,Value Plan,,42,BRUNEI DARUSSALAM,15.0,6.0,44,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,51,UNITED STATES,59.4,35.64,33,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,17,CAMBODIA,26.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,AUSTRALIA,69.3,41.58,34,Yes
EPX,Travel Agency,Online,Cancellation Plan,,15,MYANMAR,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,95,"KOREA, REPUBLIC OF",35.0,12.25,26,Yes
EPX,Travel Agency,Online,2 way Comprehensive Plan,,30,UNITED KINGDOM,73.0,0.0,36,Yes
JWT,Airlines,Online,Value Plan,,38,INDIA,80.0,32.0,118,No
C2B,Airlines,Online,Annual Silver Plan,M,364,SINGAPORE,161.0,40.25,41,No
JZI,Airlines,Online,Basic Plan,M,11,HONG KONG,26.0,9.1,39,No
JZI,Airlines,Online,Basic Plan,M,38,INDONESIA,18.0,6.3,56,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,77,THAILAND,39.6,23.76,27,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,94,CHINA,30.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,24,FRANCE,80.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,115,"KOREA, REPUBLIC OF",54.0,0.0,47,No
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,16.0,4.0,56,No
EPX,Travel Agency,Online,Cancellation Plan,,86,UNITED STATES,10.0,0.0,29,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,21,SOUTH AFRICA,0.0,47.52,35,No
EPX,Travel Agency,Online,Cancellation Plan,,13,MALAYSIA,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,32,INDIA,39.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,55,SINGAPORE,44.0,0.0,35,No
JZI,Airlines,Online,Basic Plan,M,10,HONG KONG,26.0,9.1,45,No
JZI,Airlines,Online,Value Plan,F,27,CHINA,83.0,29.05,51,No
EPX,Travel Agency,Online,Cancellation Plan,,87,SINGAPORE,30.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,100,UNITED KINGDOM,94.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,21,SINGAPORE,23.0,5.75,46,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,31,INDIA,52.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,150,MALAYSIA,-89.1,53.46,34,No
C2B,Airlines,Online,Silver Plan,F,23,SINGAPORE,62.0,15.5,28,No
EPX,Travel Agency,Online,Cancellation Plan,,32,PHILIPPINES,36.0,0.0,36,No
SSI,Airlines,Online,Ticket Protector,,29,SINGAPORE,17.11,4.8,48,No
SSI,Airlines,Online,Ticket Protector,,68,SINGAPORE,7.0,1.96,48,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,116,GREECE,20.0,0.0,61,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,10,SINGAPORE,20.0,0.0,41,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,5,UNITED KINGDOM,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,41,UNITED KINGDOM,0.0,71.28,31,No
C2B,Airlines,Online,Bronze Plan,F,12,SINGAPORE,40.0,10.0,61,No
JZI,Airlines,Online,Basic Plan,M,3,INDONESIA,18.0,6.3,48,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,UNITED STATES,47.0,0.0,46,No
RAB,Airlines,Online,Value Plan,M,3,BRUNEI DARUSSALAM,15.0,6.0,58,No
EPX,Travel Agency,Online,Cancellation Plan,,73,INDIA,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,22,JAPAN,26.0,9.1,49,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,195,THAILAND,28.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,9,"KOREA, REPUBLIC OF",49.5,29.7,58,No
EPX,Travel Agency,Online,Cancellation Plan,,4,HONG KONG,10.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,22,MALAYSIA,22.0,7.7,26,No
EPX,Travel Agency,Online,Cancellation Plan,,59,JAPAN,29.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,F,368,SINGAPORE,216.0,54.0,32,No
EPX,Travel Agency,Online,Cancellation Plan,,20,INDONESIA,10.0,0.0,56,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,18,CAMBODIA,24.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,36,MALAYSIA,20.0,0.0,63,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,117,SINGAPORE,22.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,177,HONG KONG,20.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,37,JAPAN,35.0,12.25,40,No
JZI,Airlines,Online,Basic Plan,F,30,THAILAND,22.0,7.7,22,No
C2B,Airlines,Online,Annual Silver Plan,F,378,SINGAPORE,216.0,54.0,73,Yes
C2B,Airlines,Online,Bronze Plan,F,13,SINGAPORE,33.5,8.38,35,Yes
SSI,Airlines,Online,Ticket Protector,,28,SINGAPORE,3.34,0.94,48,No
EPX,Travel Agency,Online,Cancellation Plan,,16,JAPAN,21.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,56,MALAYSIA,10.0,0.0,30,No
C2B,Airlines,Online,Silver Plan,M,5,SINGAPORE,36.75,9.19,36,No
C2B,Airlines,Online,Annual Silver Plan,F,366,SINGAPORE,216.0,54.0,42,Yes
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,7,THAILAND,49.5,29.7,61,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,91,UNITED KINGDOM,168.3,100.98,62,No
JWT,Airlines,Online,Value Plan,M,3,INDIA,62.0,24.8,118,No
EPX,Travel Agency,Online,Cancellation Plan,,8,VIET NAM,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,91,PHILIPPINES,18.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,63,CHINA,40.0,14.0,28,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,43,HONG KONG,30.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,MALAYSIA,18.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,19,THAILAND,24.0,0.0,38,No
C2B,Airlines,Online,Silver Plan,F,13,SINGAPORE,47.5,11.88,29,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,124,JAPAN,89.0,0.0,25,No
JZI,Airlines,Online,Basic Plan,M,6,VIET NAM,22.0,7.7,63,No
EPX,Travel Agency,Online,Cancellation Plan,,1,MALAYSIA,10.0,0.0,35,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,34,MALAYSIA,29.7,17.82,42,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,3,MALAYSIA,19.8,11.88,30,No
JZI,Airlines,Online,Basic Plan,M,42,"KOREA, REPUBLIC OF",35.0,12.25,22,No
EPX,Travel Agency,Online,Cancellation Plan,,8,INDIA,80.0,0.0,35,No
JWT,Airlines,Online,Value Plan,M,15,INDIA,31.0,12.4,118,No
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,18.0,4.5,40,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,4,INDIA,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,PHILIPPINES,43.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,CHINA,45.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,12,UNITED KINGDOM,118.8,71.28,42,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,24,INDONESIA,20.0,0.0,39,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,11,AUSTRALIA,0.0,11.88,31,No
JZI,Airlines,Online,Basic Plan,F,39,THAILAND,22.0,7.7,60,No
EPX,Travel Agency,Online,Cancellation Plan,,50,SINGAPORE,0.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,M,22,SINGAPORE,63.5,15.88,30,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,5,GREECE,0.0,23.76,31,No
EPX,Travel Agency,Online,Cancellation Plan,,18,UNITED STATES,31.0,0.0,21,No
JZI,Airlines,Online,Basic Plan,F,121,JAPAN,44.0,15.4,118,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,24,MALAYSIA,26.0,0.0,39,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,41,UNITED STATES,112.0,0.0,45,No
C2B,Airlines,Online,Gold Plan,F,173,SINGAPORE,572.5,143.13,40,No
EPX,Travel Agency,Online,Cancellation Plan,,17,PHILIPPINES,14.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,MALAYSIA,25.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,5,AUSTRALIA,29.7,17.82,33,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,20,DENMARK,82.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,3,AUSTRALIA,29.7,17.82,26,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,37,QATAR,29.7,17.82,39,No
EPX,Travel Agency,Online,Cancellation Plan,,6,MALAYSIA,10.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,SINGAPORE,112.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,56,THAILAND,28.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,64,"KOREA, REPUBLIC OF",33.0,0.0,30,No
EPX,Travel Agency,Online,Cancellation Plan,,1,MALAYSIA,10.0,0.0,36,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,F,0,MALAYSIA,27.0,17.55,56,No
JZI,Airlines,Online,Basic Plan,M,19,CHINA,35.0,12.25,67,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,INDONESIA,20.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,5,THAILAND,19.8,11.88,41,No
C2B,Airlines,Online,Silver Plan,F,32,SINGAPORE,62.0,15.5,35,No
EPX,Travel Agency,Online,Cancellation Plan,,225,THAILAND,35.0,0.0,27,No
EPX,Travel Agency,Online,Cancellation Plan,,5,VIET NAM,10.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,75,MYANMAR,20.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,7,THAILAND,10.0,0.0,45,No
C2B,Airlines,Online,Silver Plan,M,59,SINGAPORE,63.5,15.88,31,No
EPX,Travel Agency,Online,Cancellation Plan,,145,HONG KONG,13.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,17,CHINA,26.0,9.1,27,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,227,THAILAND,29.7,17.82,36,No
JZI,Airlines,Online,Basic Plan,F,28,INDONESIA,47.0,16.45,50,No
JZI,Airlines,Online,Basic Plan,M,7,INDONESIA,22.0,7.7,31,No
JZI,Airlines,Online,Basic Plan,M,15,VIET NAM,-22.0,7.7,57,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,279,JAPAN,40.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,73,MALAYSIA,33.0,11.55,51,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,41,CAMBODIA,29.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,25,VIET NAM,18.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,121,DENMARK,80.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,6,HONG KONG,29.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,56,ITALY,49.5,29.7,30,No
EPX,Travel Agency,Online,Cancellation Plan,,39,"TAIWAN, PROVINCE OF CHINA",16.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,4,MALAYSIA,20.0,0.0,36,No
JWT,Airlines,Online,Value Plan,F,127,INDIA,31.0,12.4,118,No
EPX,Travel Agency,Online,Cancellation Plan,,5,PAKISTAN,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,23,SINGAPORE,20.0,0.0,25,No
C2B,Airlines,Online,Silver Plan,F,26,SINGAPORE,39.0,9.75,35,No
LWC,Travel Agency,Online,Annual Travel Protect Silver,F,408,UNITED STATES,229.8,149.37,36,No
EPX,Travel Agency,Online,Cancellation Plan,,53,JAPAN,33.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,4,INDONESIA,18.0,6.3,28,No
EPX,Travel Agency,Online,Cancellation Plan,,10,PHILIPPINES,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,44,MAURITIUS,74.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,118,JAPAN,96.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,60,SINGAPORE,62.0,15.5,22,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,41,INDIA,-38.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,33,AUSTRALIA,118.8,71.28,25,No
EPX,Travel Agency,Online,Cancellation Plan,,18,CHINA,53.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,23,THAILAND,24.0,0.0,61,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,124,THAILAND,20.0,0.0,33,No
TST,Travel Agency,Offline,Travel Cruise Protect,M,5,THAILAND,30.0,10.5,55,No
EPX,Travel Agency,Online,Cancellation Plan,,35,UNITED KINGDOM,42.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,SINGAPORE,17.0,0.0,36,No
C2B,Airlines,Online,Annual Silver Plan,F,370,SINGAPORE,216.0,54.0,48,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,23,INDIA,20.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,10,SINGAPORE,13.5,3.38,36,No
C2B,Airlines,Online,Annual Gold Plan,F,364,SINGAPORE,389.35,97.34,40,No
EPX,Travel Agency,Online,Cancellation Plan,,38,MALAYSIA,34.0,0.0,48,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,3,SINGAPORE,20.0,0.0,36,No
CCR,Travel Agency,Offline,Comprehensive Plan,M,4,MALAYSIA,29.0,9.57,25,Yes
EPX,Travel Agency,Online,2 way Comprehensive Plan,,25,CHINA,41.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,3,HONG KONG,22.0,0.0,56,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,MALAYSIA,20.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,11,SINGAPORE,33.5,8.38,28,No
EPX,Travel Agency,Online,Cancellation Plan,,3,CHINA,17.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,2,CAMBODIA,10.0,0.0,36,No
JWT,Airlines,Online,Value Plan,F,38,INDIA,60.0,24.0,118,No
C2B,Airlines,Online,Bronze Plan,F,19,SINGAPORE,34.5,8.63,66,No
C2B,Airlines,Online,Bronze Plan,F,30,SINGAPORE,60.0,15.0,33,No
C2B,Airlines,Online,Bronze Plan,M,26,SINGAPORE,60.0,15.0,25,No
EPX,Travel Agency,Online,Cancellation Plan,,90,JAPAN,80.0,0.0,22,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,SRI LANKA,30.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,8,SINGAPORE,27.0,6.75,32,No
EPX,Travel Agency,Online,Cancellation Plan,,38,MALAYSIA,27.0,0.0,45,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,55,MALAYSIA,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,48,SINGAPORE,65.0,0.0,62,No
EPX,Travel Agency,Online,Cancellation Plan,,3,MALAYSIA,18.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,9,MALAYSIA,37.0,0.0,71,No
JZI,Airlines,Online,Basic Plan,F,31,INDONESIA,22.0,7.7,27,No
EPX,Travel Agency,Online,Cancellation Plan,,44,HONG KONG,15.0,0.0,36,No
SSI,Airlines,Online,Ticket Protector,,42,SINGAPORE,1.09,0.31,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,43,AUSTRIA,29.7,17.82,59,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,275,NORWAY,0.0,23.76,35,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,55,SOUTH AFRICA,148.5,89.1,56,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,11,MALAYSIA,20.0,0.0,35,No
EPX,Travel Agency,Online,Cancellation Plan,,5,SINGAPORE,0.0,0.0,29,No
EPX,Travel Agency,Online,Cancellation Plan,,10,VIET NAM,10.0,0.0,29,No
C2B,Airlines,Online,Silver Plan,M,17,SINGAPORE,46.8,11.7,46,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,4,THAILAND,20.0,0.0,36,No
C2B,Airlines,Online,Silver Plan,F,7,SINGAPORE,29.0,7.25,56,No
EPX,Travel Agency,Online,Cancellation Plan,,99,JAPAN,37.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,6,THAILAND,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,74,GERMANY,105.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,4,MALAYSIA,10.0,0.0,36,No
JZI,Airlines,Online,Value Plan,F,9,HONG KONG,45.0,15.75,46,No
C2B,Airlines,Online,Silver Plan,M,50,SINGAPORE,122.0,30.5,46,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,4,THAILAND,20.0,0.0,42,No
C2B,Airlines,Online,Bronze Plan,M,6,SINGAPORE,18.0,4.5,28,No
EPX,Travel Agency,Online,Cancellation Plan,,5,MALAYSIA,28.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,161,PHILIPPINES,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,81,THAILAND,20.0,0.0,36,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,48,UNITED STATES,73.0,0.0,21,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,8,MALAYSIA,29.7,17.82,53,No
C2B,Airlines,Online,Bronze Plan,M,14,SINGAPORE,27.0,6.75,22,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,14,MALAYSIA,24.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,75,AUSTRALIA,59.4,35.64,31,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,54,INDONESIA,20.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,17,CHINA,23.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,22,MALAYSIA,18.0,6.3,69,No
EPX,Travel Agency,Online,Cancellation Plan,,3,OMAN,25.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,8,GREECE,49.5,29.7,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,37,THAILAND,39.6,23.76,32,No
JZI,Airlines,Online,Basic Plan,F,3,INDONESIA,18.0,6.3,38,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,M,369,CHINA,204.6,132.99,39,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,6,MYANMAR,20.0,0.0,39,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,101,GERMANY,85.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,29,CHINA,26.0,9.1,30,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,19,HONG KONG,20.0,0.0,72,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,168,UNITED STATES,102.0,0.0,31,No
EPX,Travel Agency,Online,Cancellation Plan,,22,AUSTRALIA,17.0,0.0,36,No
SSI,Airlines,Online,Ticket Protector,,7,SINGAPORE,0.92,0.26,48,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,30,UNITED KINGDOM,49.5,29.7,55,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,59,PHILIPPINES,34.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,9,INDONESIA,13.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,12,HONG KONG,26.0,9.1,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,116,CHINA,57.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,47,THAILAND,68.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,M,7,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,47,No
EPX,Travel Agency,Online,Cancellation Plan,,11,MALAYSIA,10.0,0.0,49,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,20,AUSTRALIA,69.3,41.58,59,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,31,MALAYSIA,30.0,10.5,29,No
JZI,Airlines,Online,Basic Plan,F,1,INDONESIA,18.0,6.3,40,No
EPX,Travel Agency,Online,Cancellation Plan,,73,UNITED STATES,53.0,0.0,45,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,10,VIET NAM,21.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,M,39,SINGAPORE,29.9,7.47,23,No
EPX,Travel Agency,Online,Cancellation Plan,,22,PHILIPPINES,36.0,0.0,36,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,18,ICELAND,39.6,23.76,31,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,19,UNITED STATES,39.6,23.76,40,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,64,AUSTRIA,138.6,83.16,54,No
C2B,Airlines,Online,Bronze Plan,F,37,SINGAPORE,89.0,22.25,28,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,230,AUSTRALIA,-69.3,41.58,50,No
JZI,Airlines,Online,Basic Plan,F,10,INDONESIA,22.0,7.7,67,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,,149,SWITZERLAND,-59.4,35.64,40,No
EPX,Travel Agency,Online,Cancellation Plan,,8,CHINA,19.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,7,HONG KONG,37.0,0.0,36,No
JWT,Airlines,Online,Value Plan,F,6,INDIA,39.0,15.6,118,No
EPX,Travel Agency,Online,Cancellation Plan,,165,MALAYSIA,10.0,0.0,40,No
EPX,Travel Agency,Online,Cancellation Plan,,15,SINGAPORE,11.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,11,HONG KONG,14.0,0.0,50,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,15,CHINA,112.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,7,MYANMAR,15.0,0.0,36,No
C2B,Airlines,Online,Bronze Plan,F,7,SINGAPORE,16.0,4.0,23,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,58,SINGAPORE,20.0,0.0,40,No
C2B,Airlines,Online,Silver Plan,F,7,SINGAPORE,24.5,6.13,44,No
EPX,Travel Agency,Online,Cancellation Plan,,17,SINGAPORE,80.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,5,MALAYSIA,10.0,0.0,33,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,2,INDIA,42.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,16,CHINA,37.0,0.0,36,No
TST,Travel Agency,Offline,Travel Cruise Protect,F,71,THAILAND,30.0,10.5,24,No
EPX,Travel Agency,Online,Cancellation Plan,,64,PHILIPPINES,13.0,0.0,36,No
JZI,Airlines,Online,Basic Plan,F,229,MYANMAR,37.0,12.95,32,No
EPX,Travel Agency,Online,Cancellation Plan,,33,UNITED ARAB EMIRATES,23.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,14,VIET NAM,20.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,8,UNITED STATES,112.0,0.0,47,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,110,UNITED STATES,76.0,0.0,37,No
EPX,Travel Agency,Online,Cancellation Plan,,148,UNITED ARAB EMIRATES,25.0,0.0,36,No
CCR,Travel Agency,Offline,Comprehensive Plan,F,39,MALAYSIA,29.0,9.57,118,No
EPX,Travel Agency,Online,Cancellation Plan,,78,ITALY,67.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,1,MALAYSIA,10.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,12,INDONESIA,22.0,0.0,71,No
EPX,Travel Agency,Online,1 way Comprehensive Plan,,6,SINGAPORE,20.0,0.0,44,No
EPX,Travel Agency,Online,Cancellation Plan,,18,"KOREA, REPUBLIC OF",27.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,19,MALAYSIA,10.0,0.0,36,No
EPX,Travel Agency,Online,Cancellation Plan,,53,HONG KONG,14.0,0.0,36,No
JWT,Airlines,Online,Value Plan,F,11,INDIA,39.0,15.6,118,No
JZI,Airlines,Online,Basic Plan,F,15,MYANMAR,33.0,11.55,39,No
EPX,Travel Agency,Online,Cancellation Plan,,90,SINGAPORE,49.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,19,CHINA,35.0,0.0,36,No
EPX,Travel Agency,Online,2 way Comprehensive Plan,,90,UNITED STATES,112.0,0.0,29,No
